J	經典釋文卷二
E	牟_人
F	亡侯反
E	于櫟
C	音歴
E	陽翟_
F	徒歴反
E	袲
F	昌氏反
E	相_縣
F	息亮反
E	傳十五年舍其
C	音捨
E	之汪_
F	鳥黃反
C	池也
E	暴_其
F	步卜反
E	檀_伯
F	徒丹反
E	經十六年城向_
F	朱亮反
E	定_之
F	丁佞反
E	傳十六年故復_
F	扶又反
E	烝
F	之承反
E	急子
C	如字詩作伋
E	上_淫
F	時掌反
C	一音如字
E	屬諸
C	音燭下同
E	為_之
F	于偽反
E	右媵_
F	羊政反
E	朔構_
F	古豆反
E	㑹
F	古外反
E	公使_
F	所吏反
E	諸莘_
F	所巾反
E	惡用
C	音烏安也注同
E	飲_以酒
F	於鴆反
C	一本以作之
E	子洩_
F	息列反
E	黔_牟
F	其亷反
C	又音琴
E	經十七年于趡_
F	翠軌反
E	皆陳_
F	直覲反
E	傳十七年疆_事
F	居良反
C	注及下皆同
E	疆埸
C	音亦
E	虞度_
F	待洛反
C	下同
E	齊背
C	音佩下同
E	以厎
C	音㫖下同
E	惡_之
F	烏路反
C	下及注所惡皆同
E	子亹
C	音尾
E	復_惡
F	扶又反
C	注同一音服則乖注意
E	復重_
F	直用反
C	下同
E	經十八年于濼_
F	盧篤反
C	又
F	力角反
C	一音洛説文
F	匹沃反
E	言戕_
F	在良反
E	傳十八年相瀆_
F	徒木反
E	公謫_
F	直革反
C	責也王又
F	丁革反
E	謫譴_
F	遣戰反
E	為_公
F	于偽反
E	乘_公
C	如字又
F	繩證反
C	注同
E	上_車
F	時掌反
E	拉_公
F	力答反
E	幹_而
F	古旦反
E	舊好_
F	呼報反
E	歸咎_
F	其九反
E	彌相_
F	息亮反
E	而轘
C	音患車裂也
E	車裂
C	音列
E	以知
C	音智又如字
E	欲弑_
F	申志反
E	屬諸
C	音燭
E	匹嫡_
F	丁歴反
C	注同
E	臣擅_
F	市戰反
E	於難_
F	乃旦反
S	莊公
C	名同桓公子母文姜諡法勝敵克亂曰莊
S	第三
CC	杜氏盡三十二年
E	經元年遜于
C	本亦作孫音同注及傳同
E	單伯
C	音善
E	采_地
F	七代反
E	且别_
F	彼列反
E	諒闇
C	音梁又音亮
E	親迎_
F	魚敬反
E	之比_
F	必利反
E	郱
F	蒲丁反
E	鄑
F	子靳反
E	郚
C	音吾
E	臨朐_
F	其俱反
E	訾_城
F	子斯反
E	傳元年父殺
C	音試一音如字
E	而復_
F	扶又反
E	去_姜
F	起呂反
E	未闋_
F	苦穴反
E	經二年于禚_
F	諸若反
E	公馮_
F	皮冰反
E	傳二年好_㑹
F	呼報反
E	經三年溺_
F	乃狄反
E	故去_
F	起呂反
E	以酅_
F	戸圭反
C	本又作攜
E	于滑_
F	乎八于八二反
E	傳三年重_盟
F	直用反
E	以難_
F	乃旦反
E	在櫟_
C	音歴或音
F	書約反
E	經四年享食
C	音嗣又如字本或作㑹
E	以見_
F	賢遍反
E	狩_于
F	手又反
E	越竟
C	音境本又作境
E	傳四年孑_
F	吉熱反
C	方言云楚謂㦸為孑
E	㦸為陳_
F	直覲反
E	將齊_
F	側皆反
C	注同
E	僻_陋
F	匹亦反
E	僭_號
F	子念反
E	徴應
C	應對之應
E	樠
F	郎蕩反
C	木名又
F	莫昆反
C	又
F	武元反
E	屈重_
F	直用反
C	一音
F	直容反
E	梁溠_
C	髙貴鄉公音
F	側嫁反
C	水名字林
F	壯加反
E	入員
C	音云或作鄖
E	漢汭_
F	如鋭反
C	内也漢水西也水曲曰汭
E	下_齊
F	遐嫁反
E	難_也
F	乃旦反
E	經五年郳_
F	五兮反
C	國名後為小邾
E	犂_來
F	力兮反
E	昌慮_
C	如字又
F	力於反
E	傳五年數從
C	音朔
E	經六年螟_
F	亡丁反
E	衛俘_
F	芳夫反
C	囚也
E	傳六年甯_
F	乃定反
E	跪
F	其毁反
E	宥之
C	音又
E	不度_
F	待洛反
C	下同
E	立衷_
F	丁仲反
C	節適也注同王音忠
E	弗强_
F	其丈反
C	注同
E	必披_
F	普靡反
C	又
F	普知反
E	蕃滋
C	音煩
E	説魯
C	音悦
E	祁_侯
F	巨支反
C	字林
F	上尸反
E	騅甥
C	音隹
E	噬_齊__
F	市制反
C	下
F	粗兮反
E	齧_也
F	五結反
E	焉_取
F	於䖍反
E	無復_
F	扶又反
C	下文同
E	經七年不見_
F	賢遍反
C	注及傳皆同
E	夜中_
C	夜中夜半也
F	丁仲反
C	又如字
E	星隕_
F	于閔反
C	落也
E	不匿_
F	女力反
E	漂_殺
F	匹妙反
C	又
F	匹遙反
E	傳七年數與
C	音朔
E	偕
C	音皆俱也
E	經八年郕降_
F	戸江反
C	傳皆同
E	諸兒_
C	如字一音
F	五兮反
E	傳八年夏_書
F	戸雅反
C	後放此
E	臯陶
C	音遥
E	連稱_
F	尺證反
C	又如字
E	期戍
C	音基本亦作朞
E	如適_
F	丁歴反
C	注同
E	絀_之
F	勑律反
E	從_妹
F	才用反
C	下從者皆同
E	間_公
C	如字注同或
F	古莧反
C	非
E	曰捷_
F	在接反
C	克也
E	以女
C	音汝
E	姑棼_
F	扶云反
E	貝_丘
F	補蓋反
E	樂安
C	音洛
E	敢見_
F	賢遍反
E	射_之
F	食亦反
E	而啼_
F	田兮反
E	隊_于
F	直類反
E	喪
F	息浪反
E	屨
F	九具反
E	徒人費
C	音祕
E	奚御_
F	魚呂反
E	袒而
C	音但
E	之紛_
F	敷文反
E	于牀_
F	士良反
E	鮑_叔
C	步（!）
F	夘召反
E	忽
F	詩照反
E	子糾_
F	居黝反
E	雍廩_
F	力錦反
E	經九年于蔇_
F	其器反
E	繒_縣
F	才陵反
E	乾時
C	音干
E	岐_流
F	其宜反
C	又
F	巨移反
E	竭涸_
F	戸各反
E	惡_齊
F	烏路反
E	譎
F	古穴反
E	浚
F	蘇俊反
C	深也
E	洙
C	音殊水名
E	泗
C	音四
E	傳九年公喪_
F	息浪反
E	傳乘_
F	直專反
C	又
F	丁戀反
C	下
F	繩證反
C	注傳乗
E	乘他車
C	如字
E	辟_于
C	音避本亦作避一音
F	婢亦反
E	管召_
F	詩照反
E	讐_也
F	市由反
E	射_桓公
F	食亦反
E	生竇
C	音豆
E	而税_
C	本又作説同
F	土活反
C	一音
F	失鋭反
E	解
F	嫌蟹反
E	夷吾縛_
F	扶略反
C	舊
F	扶卧反
E	治_於
F	直吏反
C	注同
E	髙傒
C	音兮
E	使相_
F	息亮反
E	經十年長勺_
F	上酌反
E	未陳_
F	直覲反
C	十一年經注同
E	宋强_
F	其丈反
E	背蔇
C	音佩傳同
E	乘_丘
F	繩證反
E	于莘_
F	所巾反
E	將_率
F	子匠反
C	率又作帥同
F	所類反
E	滅譚_
F	徒南反
E	傳十年曹劌_
F	古衛反
E	請見_
F	賢遍反
C	下同
E	何閒
C	閒厠之間注同與也
E	猶與
C	音預
E	未徧
C	音遍注同
E	犧_牲
F	許宜反
E	之屬
C	音蜀
E	請從_
F	才用反
E	之乘_
F	繩證反
E	三_鼓
F	息暫反
C	又如字
E	其轍_
F	其列反
E	登軾
C	音式
E	有伏_
C	如字舊
F	扶又反
E	旗
C	音其
E	靡
C	音美
E	怖
F	普布反
E	遽_也
F	其據反
E	雩門
C	音于
E	臯比
C	音毗注同
E	過_譚
F	古禾反
E	經十一年鄑_
F	子靳反
E	傳十一年為_乘
F	于偽反
E	未陳_
F	直覲反
C	下注同
E	橈_敗
F	乃孝反
C	一音
F	乃巧反
E	沮_岸
F	在吕反
C	壊也一音
F	子餘反
C	岸崩謂之沮
E	喪_其
F	息浪反
E	得儁
C	音俊本或作俊
E	之比_
F	必利反
E	退復_
F	扶又反
E	狡_壯__
F	交夘反
C	下
F	側亮反
E	之難_
F	乃旦反
E	京師敗
C	本或作京師敗繢者非
E	得校
C	音教
E	悖_焉
F	蒲忽反
C	一作勃同盛貌
E	桀紂_
F	直久反
E	言懼而名禮
C	絶句或以名字絶句者非
E	公子御_
F	魚吕反
C	本或作禦
E	説
C	音悦
E	共（？）
C	音恭
E	射_南宮
F	食亦反
E	長_萬
F	丁丈反
E	歂_孫生
F	市專反
E	搏之
C	音博取也
E	靳_之
F	居覲反
C	戲而相媿曰靳服云恥而惡之曰靳
E	經十二年于酅
C	音攜
E	不警_
F	居領反
E	傳十二年批_而
F	普迷反
C	又
F	蒲穴反
C	字林云擊也
F	父迷父卽二反
E	大宰
C	音泰
E	奔亳_
F	步各反
E	南宫萬奔陳
C	本或作長萬長衍字也下亦然
E	乘_車
F	繩證反
C	注同
E	弃好_
F	呼報反
C	注同
E	亦請南宮長萬于陳以賂
C	絶句
E	飲_之
F	於鴆反
E	犀革
C	音西
E	裹之
C	音果
E	比_及
F	必利反
E	皆見_
F	賢遍反
E	醢之
C	音海肉醤也
E	經十三年北杏_
F	戸孟反
E	蛇丘
C	音移
E	于柯_
F	古河反
E	傳十三年通好_
F	呼報反
E	背北杏
C	音佩十四年經注同
E	經十四年于鄄
C	音絹
E	甄_城
C	音絹一音真或音旃又
F	舉然反
C	或作鄄
E	傳十四年自櫟
C	音歴
E	苟舍
C	音捨
E	鄭子
C	子儀
E	内蛇_
F	市奢反
E	申繻
C	音須
E	有妖_
F	於驕反
E	炎以
C	音豔
E	洛誥_
F	古報反
E	燄燄
C	音豔
E	無釁_
F	許靳反
E	無裏
C	音里
E	憾_焉
F	戸暗反
E	宗祏
C	音石藏主石函也
E	守_臣
F	手又反
E	莊公之子猶有八人
C	傳唯見四人子忽子亹子儀並死獨厲公在八人名字記傳無聞
E	乃縊_
F	一賜反
E	為_莘__
F	于偽反
C	下
F	所巾反
E	以語_
F	魚據反
E	繩
F	食承反
C	説文作繩
E	譽
C	音餘又如字
E	堵_敖__
F	丁古反
C	下
F	五兼反
C	杜云楚人謂未成君為敖史記作杜敖
E	以説
C	音悦
E	之易_
F	以豉反
C	注同
E	之燎_
F	力召反
C	又
F	力弔反
E	鄉_邇
F	許亮反
E	撲_滅
F	普卜反
E	般_庚
F	步干反
C	本又作盤
E	易長_
F	丁丈反
E	經十五年伐郳_
F	五兮反
E	傳十五年復_㑹
F	扶又反
E	諸侯長_
F	丁丈反
E	為_宋
F	于偽反
E	閒之
C	閒厠之閒一本作閒
E	經十六年介於
C	音界
E	而為三恪_
F	苦各反
C	本或作為三恪之客
E	都費_
F	扶味反
C	又音祕
E	緱_氏
F	古侯反
C	一音
F	苦侯反
E	傳十六年宋故也
C	本或作為宋故
E	為_不禮
F	于偽反
E	與於
C	音預
E	公子閼_
F	安末反
C	案隱十一年鄭有公孫閼距此三十五年不容復有公孫閼若非閼字誤則子當為孫
E	刖
C	音月又
F	五刮反
E	强鉏_
F	仕魚反
E	斷_足
F	丁管反
E	公父
C	音甫王音如字
E	共叔
C	音恭
E	遂并_
C	如字王
F	必政反
E	詭_諸
F	九委反
E	采_地
F	七代反
C	後放此
E	蒍_國
F	于萎反
E	報施_
F	始豉反
E	之難_
F	乃旦反
E	不見_
F	賢遍反
C	下同
E	復_自
F	扶又反
E	經十七年鄭詹_
F	之亷反
E	始伯
C	音霸又如字本又作霸
E	殱_于
F	子亷反
C	盡也
E	翫_而
F	五亂反
E	而盡_
F	津忍反
E	遁_逃
F	徒遜反
E	多麋_
F	亡悲反
E	傳十七年頜_氏
F	烏納反
C	又
F	苦答反
E	工婁_
F	力侯反
E	饗齊
C	本又作享
E	經十八年有（？）
C	本又作蜮音或短弧也本草謂之射工
E	短_弧
C	本又作斷同
F	丁管反
C	弧又作狐音胡
E	射_人
F	食亦反
E	傳十八年醴
C	音禮
E	之宥
C	音又
E	五㲄
C	音角雙玉為㲄字又作班
E	是借_
F	子夜反
E	為_王
F	于偽反
E	少_子
F	詩照反
E	后稱_
F	尺證反
E	鬭緡_
F	亡巾反
E	以畔
C	絶句本或作叛俗字
E	_（？）__
C	處那又作□同
F	乃多反
C	下
F	昌吕反
C	又
F	昌慮反
E	編_縣
F	必緜反
C	一音
F	步典反
E	游涌
C	音勇水名
E	經十九年媵_陳
F	以證反
C	又
F	繩證反
C	送也
E	出竟
C	音境
E	之好_
F	呼報反
E	傳十九年鬻
C	音育
E	拳
F	求圓反
E	大閽
C	音昬守門人也
E	嬴
C	音盈姓也字從女
E	踖_陵
F	在亦反
C	一音
F	七略反
E	及湫_
F	子小反
E	鄀縣
C	音若
E	夕室
C	朝夕之夕
E	絰_皇
F	田結反
C	絰皇闕也
E	强_諫
F	其丈反
E	大伯
C	音泰
E	校_尉
F	戸教反
C	字從木
E	王姚_
F	羊消反
E	嬖_于
F	必計反
E	子頽_
F	徒回反
E	之圃_
F	必古反
C	又音布園也
E	為囿_
C	音又徐
F	于目反
C	苑也
E	苑_也
F	於阮反
E	近於
C	附近之近
E	祝跪_
F	求委反
E	而収_
F	式周反
E	經二十年傳二十年為_伐
F	于偽反
C	下文同
E	于鄔_
F	烏苦反
E	徧舞
C	音遍
E	哀樂
C	音樂
E	殃_咎__
F	於良反
C	下
F	其九反
E	去_盛
F	起呂反
E	饌
F	仕眷反
E	奸王
C	音干
E	盍_納
F	胡臘反
C	何不也
E	經二十一年祔姑
C	音附
E	傳二十一年于弭_
F	面爾反
E	圉_門
F	魚吕反
E	西辟_
F	蒲歴反
E	復_與
F	扶又反
E	效_尤
F	戸教反
E	徧舞
C	音遍
E	虢守
C	音狩本或作狩後放此注同
E	于玤_
F	蒲項反
E	鞶
F	步干反
C	又
F	蒲官反
C	紳帶也
E	鑑
F	工暫反
C	鏡也
E	始惡_
F	烏路反
C	又如字
E	王使_
F	所吏反
E	經二十二年大眚_
F	所景反
E	盪
C	音蕩本又作蕩
E	滌
F	徒歴反
E	御宼
C	音禦本亦作禦
E	惡_其
F	烏路反
E	不見_
F	賢遍反
C	又如字
E	傳二十二年顓孫
C	音專
E	弛_於
F	失氏反
E	負擔_
F	丁暫反
E	去離_
F	力智反
E	謗
F	布浪反
E	翹_翹
F	祁堯反
C	逺貌
E	車乘_
F	繩證反
E	飲_桓公
F	於鴆反
C	注同
E	酒樂
C	音洛下注同
E	卜妻_
F	七計反
E	和_鳴
C	如字又
F	戸卧反
C	注同
E	將_將
F	七羊反
C	本又作鏘
E	並于正卿
C	本或作並為誤
E	陳佗_
F	大多反
E	其少_
F	詩照反
E	見_陳侯
C	如字又
F	賢遍反
E	大史
C	音泰
E	使筮_
F	上制反
E	蓍
C	音尸
E	遇觀_
F	古亂反
C	注皆同
E	之否_
F	備矣反
C	注同
E	爻_辭
F	戸交反
E	乾_天
F	其然反
E	陳摰
C	音至本又作贄同
E	有觀_
F	古亂反
E	而著_
F	直略反
E	大嶽
C	音泰下音岳
E	楚復_
F	扶又反
E	猶豫
C	音預本亦作預
E	南蒯_
F	苦怪反
E	卜僭_
F	子念反
E	其應
C	應對之應
E	縣騐
C	音（玄）
E	經二十三年祭_叔
F	側界反
E	為_祭公
F	于偽反
E	于穀
C	音谷
E	宮楹
C	音盈
E	射_姑
F	示亦反
C	又音亦
E	于扈
C	音戸
E	卷_縣
C	音權字林
F	丘權反
C	韋昭
F	丘云反
C	説文
F	丘粉反
E	傳二十三年長_幼
F	丁丈反
E	族偪_
F	彼力反
E	士蒍_
F	于委反
E	去_富子
F	起吕反
C	下同
E	經二十四年刻音
C	克鏤也
E	桷
C	音角椽也字林云齊魯謂榱為桷
E	桷椽_
F	直專反
E	要_公
F	於遥反
E	孟任
C	音壬後孟任皆同
E	覿
F	徒歴反
C	見也
E	以見_
F	賢遍反
C	下同
E	奢夸_
F	苦爪反
E	傳二十四年御_孫
F	魚吕反
C	本亦作禦
E	侈
F	昌紙反
C	又
F	尸氏反
E	男䞇_
F	眞二反
E	别_貴賤
F	彼列反
E	榛_栗
F	側巾反
E	棗脩
C	脩脯也鍜脯加薑桂曰脩
E	䖍
C	音乾
E	經二十五年女叔
C	音汝陳大夫氏
E	嘉好_
F	呼報反
C	傳同
E	傳二十五年相_魯
F	息亮反
C	下同
E	正月
C	音政正月建巳之月
E	慝_未
F	他得反
C	陰氣
E	夏_之
F	戸雅反
E	之（？）_
F	所景反
C	災也
E	城聚_
F	才喻反
E	經二十六年傳二十六年簡牘_
F	徒木反
E	不究
C	音救
E	不復_
F	扶又反
E	申解_
F	居蟹反
E	經二十七年于洮_
F	徒刀反
E	具見_
F	賢遍反
E	自為_
F	于偽反
E	所_黜
F	勑律反
E	城濮
C	音卜
E	傳二十七年越竟
C	音境
E	所畜_
F	勑六反
C	下及注皆同
E	哀樂
C	音洛
E	力強_
F	其丈反
E	亟_戰
F	欺冀反
E	將饑_
F	居疑反
C	又音機
E	召伯
C	音邵
E	廖
F	力彫反
E	經二十八年邾子瑣_
F	素果反
E	築郿_
F	亡悲反
E	吿糴_
F	徒歴反
E	傳二十八年烝_於
F	之承反
E	重_耳
F	直龍反
E	驪_戎
F	力知反
E	女_以
F	昵據反
C	注曰女同
E	卓_子
F	勑角反
E	閨
C	音圭
E	闥
F	吐達反
E	闗塞_
F	素代反
E	二屈_
F	求勿反
C	一音
F	居勿反
E	之疆_
F	居良反
C	下同
E	疆埸
C	音亦
E	故復_
F	扶又反
E	説之
C	音悦
E	譖羣_
F	貴鴆反
E	二耜
C	音似
E	廣_一
F	古曠反
E	共墾_
F	苦很反
E	欲蠱
C	音古惑也
E	六百乘_
F	繩證反
E	入桔_
F	及結反
E	柣
F	待結反
E	鬬御_
F	魚呂反
C	本亦作禦
F	下注反（！）
C	禦同
E	疆
F	其良反
C	又
F	居良反
E	鬬梧
C	音吾
E	不比_
F	并里反
E	為旆_
F	蒲貝反
E	長_尋
F	直亮反
E	曰旐
C	音兆
E	王孫喜殿_
F	丁見反
E	純門
C	如字
E	及逵_
F	求（龜）反
E	縣門
C	音（玄）注同
E	夜遁_
F	徒困反
E	諜告
C	音牒
E	楚幕
C	音莫
E	諜間
C	閒厠之間
E	經二十九年延廏_
F	居又反
E	有蜚_
F	扶味反
E	備難_
F	乃旦反
E	皆重_
F	直用反
E	傳二十九年嚮_入
F	許亮反
C	本或作向同
E	輕_曰
F	遣政反
E	龍見_
F	賢遍反
C	注下皆同
E	角亢_
F	苦浪反
C	又音剛
E	而栽_
C	字林
F	才代反
C	一音再説文云築牆長版
E	定_星
F	多佞反
E	經三十年將_卑
F	子匠反
E	將降_
F	戸江反
C	下文注同
E	鄣
C	音章下同
E	魯濟_
F	子禮反
E	傳三十年射_師
F	食亦反
C	又
F	食夜反
E	而梏_
F	古毒反
E	曰桎_
F	之實反
E	楚僭_
F	子念反
E	鬭穀_
F	奴走反
C	楚人謂乳曰穀漢書作彀音同
E	於
C	音島
E	菟
C	皆徒
E	以紓_
C	音舒一音
F	直汝反
C	緩也
E	之難_
F	乃旦反
C	下注同
E	欲為_
F	于偽反
E	薊縣
C	音計
E	經三十一年刺_奢
F	七賜反
E	戎捷_
F	在妾反
E	相遺_
F	唯季反
C	傳同
E	俘
C	音孚
E	傳三十一年以警
C	音景戒懼也
E	經三十二年飲酖
C	音鴆本亦作鴆
E	不與
C	音預
E	斂
F	力豔反
E	子般
C	音班
E	書殺
C	音試一音如字下同
E	傳三十二年為_管仲
F	于偽反
C	注及下同
E	先見_
F	賢遍反
C	又如字
E	于莘_
F	所巾反
E	内史過_
F	古禾反
E	監_其
C	本又作鑑
F	古暫反
E	先脾_
F	婢支反
E	宗區_
F	丘于反
E	史嚚_
F	五巾反
E	大祝
C	音泰下同
E	涼徳
C	音良薄也
E	黨氏
C	音掌
E	閟
C	音秘
E	講肄_
C	音四又
F	以二反
E	圉人犖_
C	音洛又
F	力角反
E	反覆_
F	芳服反
E	鄉_者
F	許疕反
E	鍼_巫
F	其亷反
E	畫酒
C	音獲
E	共仲
C	音恭
E	閔_公
F	亡謹反
S	閔公
C	名啓方莊公之子母叔姜史記云名開諡法在國遭難曰閔
S	第四
CC	杜氏盡二年
E	經元年出疆_
F	居良反
E	省難_
F	乃旦反
C	下及傳同
E	傳元年豺_
F	仕皆反
E	狼
C	音郎
E	可厭_
F	於鹽反
E	諸夏_
F	戸雅反
C	注同
E	親暱_
F	女乙反
C	近也
E	宴_安
F	於見反
C	本又作晏音同一音
F	烏諌反
E	酖_毒
F	直蔭反
E	勞_來__
F	力報反
C	下
F	力代反
E	仲孫湫_
F	子小反
E	不去_
F	起呂反
C	下同
E	自斃_
F	婢世反
E	踣
F	蒲北反
E	閒攜
C	閒厠之間注同
E	覆_昬
F	芳服反
C	注同
E	霸王_
F	于况反
C	注同
E	見_莊
F	賢遍反
E	公將_
F	子匠反
C	下及注同
E	趙衰_
F	初危反
E	魏犫_
F	尺由反
E	滅耿_
F	古幸反
C	國名
E	還為_
F	于偽反
E	又焉_
F	於䖍反
E	大伯
C	音泰注同
E	適_子
F	丁歴反
C	本又作嫡
E	且諺
C	音彦
E	若祚_
F	在路反
E	遇屯_
F	張倫反
E	之比_
F	毗志反
C	注及下同
E	辛廖_
F	力彫反
E	蕃昌
C	音煩
E	兄長_
F	丁丈反
E	經二年吉禘_
F	大計反
E	入祧_
F	他彫反
E	昭_穆
F	上饒反
E	未闋_
F	苦穴反
E	大廟
C	音泰
E	孫于
C	音遜注同
E	美稱_
F	尺證反
E	見惡_
F	烏路反
E	師潰_
F	戸内反
E	傳二年渭汭_
F	如鋭反
E	隈_曲
F	烏囘反
E	舟之僑
C	音喬
E	卜齮_
F	魚綺反
E	共仲
C	音恭
E	武闈
C	音韋一音暉
E	費_縣
C	音秘又
F	扶味反
E	乃縊_
F	一賜反
E	與知
C	音預
E	故孫
C	音遜
E	亳_社
F	步各反
E	好_鶴__
F	呼報反
C	下
F	戸各反
E	乘軒_
F	許言反
C	大夫車也
E	余焉_
F	於䖍反
E	玦
F	古穴反
E	使守_
F	手又反
C	下告守及注同
E	決斷_
F	丁亂反
E	禦難_
F	乃旦反
E	孔嬰齊殿_
F	丁見反
E	熒_澤
F	戸扃反
E	無復_
F	扶又反
C	下復逐同
E	為_之
F	于偽反
C	下文為衛同
E	不去_
F	起呂反
C	藏也一云除也
E	華_龍
F	戸化反
E	大史
C	音泰
E	故恐_
F	丘勇反
E	也少_
F	詩照反
E	烝_於
F	之承反
E	强_之
F	其丈反
E	以廬_
F	力居反
C	舍也
E	于曹
C	詩作漕音同
E	歸唁
C	音彦
E	無虧_
F	去危反
E	三百乘_
F	繩證反
C	下及注同
E	别見_
F	賢遍反
E	五稱_
F	尺證反
E	雞狗
C	音苟
E	歸遺_
F	于季反
E	單複_
C	音丹下
F	方服反
E	人惡_
F	烏路反
C	注同
E	好_利
F	呼報反
E	能逺_
F	于萬反
E	為_之
F	于偽反
E	臯_落
F	古刀反
E	别種_
F	章勇反
E	粢盛
C	音咨下音成
E	朝_夕
C	如字又
F	張遥反
E	君膳_
F	市戰反
E	則守_
F	手又反
C	下同
E	則從_
F	才用反
C	下同
E	監_國
F	古銜反
E	嗣適_
F	丁歴反
C	本又作嫡下配適同
E	將焉_
F	於䖍反
E	謂將_
F	子匠反
C	下將上軍並同
E	不共
C	音恭本又作供
E	於難_
F	乃旦反
C	下同
E	公衣_之偏
F	於既反
C	下衣身之偏衣之純衣之龍服注衣之同
E	叔向_
F	許丈反
E	無慝_
F	他得反
E	逺_災
F	于萬反
C	注及下同
E	衷
C	音忠
E	旗也
C	音其
E	閟其
C	音祕
E	尨_服
F	莫江反
E	受脤_
F	市軫反
C	祭社之肉
E	盛以
C	音成
E	阻_之
F	莊呂反
C	疑也
E	盡_敵
F	子忍反
C	下盡敵同
E	諗周
C	音審告也説文云深諫
E	之繇_
F	直救反
E	而屬_
F	章欲反
E	衞文公大布之衣
C	本或作衣大布之衣誤
E	厚繒_
F	疾陵反
E	諒闇
C	音良又音亮
E	三十乘_
F	䋲證反
C	下同
E	迸_散
F	檗諍反
S	僖公
C	名申莊公之子閔公之兄母成風諡法小心畏忌曰僖
S	第五
CC	杜氏盡三十三年
E	經元年聶_北
F	女輒反
E	觀釁_
F	許覲反
E	于檉_
F	勑呈反
E	于酈_
F	力知反
E	莒_(?)挐
F	女居反
C	又
F	女加反
E	傳元年復_入
F	扶又反
C	下文同
E	常準_
F	之尹反
E	人潰_
F	戸内反
E	撰_具
F	仕眷反
C	又
F	仕轉反
E	分_災
F	甫問反
C	又如字
E	州長_
F	丁丈反
E	于犖_
C	音洛又
F	力角反
E	虛丘_
F	起居反
E	要_而
F	於遥反
E	為_魯
F	于偽反
E	重_來
F	直用反
E	無厭_
F	於鹽反
E	汶陽
C	音問
E	及費
C	音祕
E	萊蕪
C	音來
E	經二年大陽
C	音泰一音如字
E	見_經
F	賢遍反
E	于貫_
F	古亂反
E	貰_城
F	市夜反
C	又音世
E	傳二年屈_産
F	求勿反
C	又
F	居勿反
C	注同
E	之乘_
F	繩證反
C	注同
E	宮之竒_
F	其宜反
E	懦
C	本又作燸
F	乃亂反
C	又
F	乃貨反
C	弱也字林懦音
F	乃亂反
C	偄音讓丈反云弱也
E	强_諫
F	其良反
C	又
F	其丈反
E	且少_
F	詩照反
E	長_於
F	丁丈反
E	暱_之
F	女乙反
E	顛軨
C	音零
E	伐鄍_
F	亡丁反
E	坂
C	音反
E	以説
C	音悦
E	聚抄_
F	初教反
C	又
F	楚稍反
C	强取物
E	賄_故
F	呼罪反
E	惡_貪
F	烏路反
E	故為_
F	于偽反
C	下同
E	寺人
C	如字又音侍寺人奄官名
E	貂
C	音彫
E	豎_貂
F	上主反
E	擅_貴
F	時戰反
E	漏洩_
F	息列反
C	又
F	以制反
E	必易_
F	以豉反
E	五稔_
F	入甚反
C	熟也
E	耼_伯
F	乃甘反
E	侵掠
C	音亮
E	經三年下邳_
F	皮悲反
E	僮縣
C	音童
E	廬_江
F	力居反
E	涖盟
C	音利又音類臨也
E	傳三年夏_六
F	戸雅反
E	為_陽穀
F	于偽反
E	鄭難_
F	乃旦反
E	于囿
C	音又苑也
E	經四年于陘
C	音刑
E	召_陵
F	上照反
C	傳皆同
E	陳袁
C	袁陳大夫氏也本多作轅
E	濤塗
C	音桃
E	與謀
C	音預下同
E	傳四年所近
C	附近之近
E	大公
C	音泰注同
E	公奭
C	音釋
E	女實
C	音汝
E	夾_輔
F	古洽反
C	舊
F	古協反
E	以夸_
F	苦（？）反
E	無棣_
F	大計反
E	齊竟
C	音境下皆同
E	不共
C	音恭本亦作供下及注同
E	以縮_
F	所六反
E	裹束也
C	音果
E	菁_茅
F	子丁反
E	苞匭
C	音軌本或作軌苞或作包
E	巡守_
F	手又反
E	而溺_
F	乃歴反
E	水濱
C	音寘
E	故復_
F	扶又反
E	完乗_
F	繩證反
C	注同
E	是為_
F	于偽反
C	注同
E	之好_
F	呼報反
C	下及註同
E	謙稱_
F	尺證反
E	徼_福
F	古堯反
C	要也
E	漢以為池
C	本或作漢水以為池水衍字
E	葉_縣
F	始涉反
E	以當_
F	丁浪反
E	之費_
F	芳味反
E	郯莒
C	音談
E	申侯見_
F	賢遍反
E	資糧
C	音良
E	屝_屨
F	符費反
C	草屨也
E	齊侯説
C	音悦
E	以衮_
F	古本反
C	衮冕上公服
E	斂
F	力騐反
E	不如_
C	依字讀或一音
F	而據反
E	其繇_
F	直救反
C	兆辭也
E	渝
F	羊朱反
C	變也
E	攘_公
F	如羊反
C	除也
E	之羭_
F	羊朱反
C	美也
E	一薫_
F	許云反
C	香草也
E	一蕕
C	音由臭草也
E	易_消
F	以豉反
E	卓
F	吐濁反
E	歸胙_
F	才故反
C	祭之酒肉也
E	姬寘_
F	之䜴反
E	地墳_
F	扶粉反
E	犬斃_
F	婢世反
E	原款_
F	苦管反
E	必辯_
F	兵免反
E	不樂
C	音洛注同
E	被_此
F	皮寄反
C	又
F	皮綺反
E	縊_于
F	一賜反
E	遂譖_
F	側鴆反
E	經五年惡_用
F	烏路反
E	杞伯姬來
C	絶句來歸寧
E	朝其子
C	猶言其子朝
E	越竟
C	音境
E	自為_
F	于僞反
