春秋經傳集解哀上第二十九	哀公名蔣定公之子蓋夫人定姒所生敬王二十八年即位謚法恭仁短折曰哀
自王以下朝聘玉帛不同故敝邑之職貢於呉有豐於晉無不及焉以爲伯也今諸侯㑹而君將以寡君見晉君則晉成爲伯矣敝邑將改職貢魯賦於呉八百乗若爲子男則將半邾以屬於呉	半邾三百乗豐芳中切乗繩證切下同
而如邾以事晉	如邾六百乗
且執事以伯召諸侯而以侯終之何利之有焉呉人乃止旣而悔之	謂景伯欺之
將囚景伯景伯曰何也立後於魯矣	何景伯名
將以二乗與六人從遟速唯命遂囚以還及戸	戸牖陳留外黄縣西北東皆城是從才用切牖音酉
謂大宰曰魯將以十月上辛有事於上帝先王季辛而畢何丗有職焉	有職於祭事
自襄以來未之改也	魯襄公
若不㑹祝宗將曰呉實然	言魯祝宗將告神云景伯不㑹坐爲呉所囚呉人信鬼故以是恐之坐才卧切恐丘勇切
且謂魯不共而執其賤者七人何損焉大宰嚭言於王曰無損於魯而祗爲名	適爲惡名共音恭祗音支
不如歸之乃歸景伯呉申叔儀乞糧於公孫有山氏	申叔儀呉大夫公孫有山魯大夫舊相識
曰佩玉橤兮余無所繫之	繠然服飾備也已獨無以繫佩言呉王不恤下繠而捶切又而水切
旨酒一盛兮余與褐之父睨之	一盛一器也睨視也褐寒賤之人言但得視不得飲盛音成又市政切褐戸葛切父音甫睨五計切
對曰梁則無矣麤則有之若登首山以呼曰庚癸乎則諾	軍中不得出糧故爲私隱庚西方主榖癸北方主水傳言呉子不與士共飢渴所以亡麤七奴切呼火故切
王欲伐宋殺其丈夫而囚其婦人	以宋不㑹黃池故言呉人悖惑文直兩切本或作大夫誤悖𥙷内切
人宰嚭曰可勝也而弗能居也乃歸○冬呉及越平	終伍貟之言
春	_
秋	_
左	_
氏	_
傳	_
卷	_
第	_
二	_
十	_
九	_
