拯	tsyingX
於	_
囊	nang
瓦	_
南	nom
郢	yengX
數	srjuX
年	nen
易	yeH
無	mju
壞	_
宗	tsowng
撻	that
平	_
樂	_
縣	_
能	_
亢	_
御	ngjoH
之	tsyi
不	_
肖	sjewH
而	nyi
奮	pjunH
三	_
敗	paejH
復	_
立	lip
五	nguX
年	nen
見	henH
其	_
惡	'uH
也	yaeX
子	tsiX
翬	xjw+j
六	ljuwk
年	nen
三	_
家	kae
張	_
也	yaeX
七	tshit
年	nen
于	hju
鹹	heam
八	peat
年	nen
惡	'uH
之	tsyi
侯	huw
柳	ljuwX
曲	khjowk
濮	puwk
九	kjuwX
年	nen
伯	paek
蠆	trhaejH
分	_
器	khijH
惡	_
得	tok
堤	_
下	_
十	dzyip
年	nen
頰	kep
谷	_
爲	hjweH
危	ngjwe
相	_
焉	_
壇	dan
鼓	kuX
譟	sawH
羣	gjun
呼	xu
合	_
好	xawH
使	_
禦	ngjoX
逡	tshwin
巡	zwin
屬	_
其	_
夫	_
人	nyin
語	ngjoX
也	yaeX
之	tsyi
行	haengH
幕	mak
優	'juw
俳	beaj
欲	yowk
嗤	tsyhi
鄆	hjunH
讙	xwan
蓋	_
爲	hjweH
以	yiX
見	henH
圍	_
郈	huwX
曁	_
宋	sowngH
仲	drjuwngH
佗	da
石	dzyek
彄	khuw
所	srjoX
強	gjang
十	dzyip
一	'jit
年	nen
者	tsyaeX
渝	yu
惡	'uH
之	tsyi
取	_
夫	_
叔	syuwk
還	_
十	dzyip
二	nyijH
年	nen
墮	_
郈	huwX
違	hjw+j
背	_
墮	_
費	_
十	dzyip
三	_
年	nen
垂	dzywe
葭	kae
淵	'wen
囿	_
比	_
蒲	bu
吉	kjit
射	_
君	kjun
比	_
十	dzyip
四	sijH
年	nen
晉	tsinH
趙	drjewX
陽	yang
佗	_
人	nyin
子	tsiX
牂	tsang
敗	paejH
吳	ngu
檇	_
于	hju
牽	_
于	hju
洮	thaw
歸	kjw+j
脤	dzyinX
熟	dzyuwk
曰	hjwot
膰	bjon
蒯	khweajH
瞶	_
之	tsyi
行	haengH
十	dzyip
五	nguX
年	nen
來	loj
朝	drjew
鼷	hej
鼠	_
一	'jit
處	tsyhoH
渠	gjo
蒢	drjo
弋	yik
氏	_
於	_
長	_
帥	srwijH
之	tsyi
不	_
爲	hjweH
下	_
稷	tsik
晡	pu
時	dzyi
定	_
弋	yik
哀	'oj
公	kuwng
第	dejH
十	dzyip
二	nyijH
范	bjomX
甯	_
集	dzip
解	_
元	ngjwon
年	nen
不	_
見	_
今	kim
復	_
斛	huwk
角	_
有	hjuwX
差	tsrheaH
則	tsok
否	_
不	_
復	_
滌	dek
宫	kjuwng
敢	kamX
擅	dzyenH
施	_
始	syiX
庀	phjieX
管	kwanX
鍵	_
監	kaem
享	_
道	dawX
二	nyijH
年	nen
漷	_
東	tuwng
沂	ngj+j
西	sej
句	_
繹	yek
不	_
與	_
來	loj
朝	drjew
欲	yowk
弑	syiH
信	sinH
父	_
書	syo
篡	tsrhwaenH
得	tok
復	_
曩	nangX
日	nyit
十	dzyip
一	'jit
年	nen
轅	hjwon
頗	pha
艾	_
陵	ling
十	dzyip
二	nyijH
年	nen
今	kim
別	_
爲	hjweH
官	kwan
官	kwan
稅	sywejH
夏	haeX
謂	hjw+jH
諱	xjw+jH
取	_
橐	thak
皐	kaw
于	hju
鄖	hjun
螽	tsyuwng
十	dzyip
三	_
年	nen
于	hju
嵒	ngeam
易	yeH
祝	_
髮	pjot
斷	_
也	yaeX
以	yiX
辟	_
蛟	kaew
龍	lowng
累	_
累	_
數	_
數	_
尊	tswon
稱	tsyhingH
夫	_
差	_
星	seng
孛	_
區	'uw
夫	_
十	dzyip
四	sijH
年	nen
西	sej
狩	syuwH
不	_
出	tsyhwijH
矣	hiX
夫	_
不	_
王	_
關	kwaen
雎	tshjo
之	tsyi
應	_
自	dzijH
爲	hjweH
其	_
適	_
道	dawX
喪	_
鸜	gju
鵒	yowk
蜮	_
經	_
典	tenX
釋	syek
文	mjun
卷	_
第	dejH
二	nyijH
十	dzyip
二	nyijH
後	_
學	haewk
成	dzyeng
德	tok
挍	_
訂	_
